x,y,z
-177,-494,900
-177,-494,900
-135,-459,1017
-135,-459,1017
-135,-459,1017
-135,-459,1017
-135,-459,1116
-214,-486,1116
-214,-486,1116
-214,-486,1116
-214,-486,1116
-308,-458,1174
-308,-458,1174
-308,-458,1174
-308,-458,1174
-308,-458,1174
-352,-352,1186
-352,-352,1186
-352,-352,1186
-352,-352,1186
-348,-218,1141
-348,-218,1141
-348,-218,1141
-348,-218,1141
-348,-218,1141
-268,-122,1048
-268,-122,1048
-268,-122,1048
-268,-122,1048
-116,-124,878
-116,-124,878
-116,-124,878
-116,-124,878
-116,-124,878
104,-205,638
104,-205,638
104,-205,638
104,-205,638
104,-205,638
369,-297,398
369,-297,398
369,-297,398
369,-297,398
369,-297,398
609,-361,217
609,-361,217
609,-361,217
609,-361,217
609,-361,217
774,-437,110
774,-437,110
774,-437,110
774,-437,110
774,-437,47
893,-486,47
893,-486,47
893,-486,47
893,-486,47
893,-486,47
986,-430,7
986,-430,7
986,-430,7
986,-430,7
986,-430,7
970,-356,-22
970,-356,-22
970,-356,-22
970,-356,-22
970,-356,-22
847,-330,-77
847,-330,-77
847,-330,-77
847,-330,-77
847,-330,-77
741,-343,-147
741,-343,-147
741,-343,-147
741,-343,-147
741,-343,-234
774,-385,-234
774,-385,-234
774,-385,-234
774,-385,-234
975,-361,-360
975,-361,-360
975,-361,-360
975,-361,-360
975,-361,-360
1270,-295,-455
1270,-295,-455
1270,-295,-455
1270,-295,-455
1270,-295,-424
1607,-278,-424
1607,-278,-424
1607,-278,-424
1607,-278,-424
1868,-305,-321
1868,-305,-321
1868,-305,-321
1868,-305,-321
1868,-305,-321
1916,-425,-308
1916,-425,-308
1916,-425,-308
1916,-425,-308
1747,-529,-480
1747,-529,-480
1747,-529,-480
1747,-529,-480
1747,-529,-480
1483,-553,-747
1483,-553,-747
1483,-553,-747
1483,-553,-747
1252,-331,-880
1252,-331,-880
1252,-331,-880
1252,-331,-880
1252,-331,-880
1165,54,-717
1165,54,-717
1165,54,-717
1165,54,-717
1165,54,-461
1241,396,-345
1241,396,-345
1241,396,-345
1241,396,-345
1460,602,35
1460,602,35
1460,602,35
1460,602,35
1460,602,35
1784,681,253
1784,681,253
1784,681,253
1784,681,253
1784,681,253
1885,605,328
1885,605,328
1885,605,328
1885,605,328
1885,605,328
1656,424,339
1656,424,339
1656,424,339
1656,424,339
1656,424,339
1308,318,210
1308,318,210
1308,318,210
1308,318,210
1308,318,210
1081,368,-51
1081,368,-51
1081,368,-51
1081,368,-51
1081,368,-51
1051,494,-187
1051,494,-187
1051,494,-187
1051,494,-187
1051,494,-187
1183,573,-35
1183,573,-35
1183,573,-35
1183,573,-35
1183,573,310
1403,583,310
1403,583,310
1403,583,310
1403,583,310
1692,471,722
1692,471,722
1692,471,722
1692,471,722
1692,471,722
2009,472,1081
2009,472,1081
2009,472,1081
2009,472,1081
2009,472,1081
2188,535,1334
2188,535,1334
2188,535,1334
2188,535,1334
2188,535,1334
2157,487,1437
2157,487,1437
2157,487,1437
2157,487,1437
2157,487,1332
2142,416,1332
2142,416,1332
2142,416,1332
2142,416,1332
2395,548,927
2395,548,927
2395,548,927
2395,548,927
2395,548,927
2747,773,312
2747,773,312
2747,773,312
2747,773,312
2747,773,312
2810,703,-361
2810,703,-361
2810,703,-361
2810,703,-361
2810,703,-361
2508,207,-986
2508,207,-986
2508,207,-986
2508,207,-986
2017,-325,-1422
2017,-325,-1422
2017,-325,-1422
2017,-325,-1422
2017,-325,-1422
1381,-561,-1458
1381,-561,-1458
1381,-561,-1458
1381,-561,-1458
469,-541,-1003
469,-541,-1003
469,-541,-1003
469,-541,-1003
469,-541,-1003
-611,-328,-204
-611,-328,-204
-611,-328,-204
-611,-328,-204
-1375,11,599
-1375,11,599
-1375,11,599
-1375,11,599
-1375,11,599
-1550,372,1154
-1550,372,1154
-1550,372,1154
-1550,372,1154
-1550,372,1154
-1290,577,1332
-1290,577,1332
-1290,577,1332
-1290,577,1332
-835,429,1050
-835,429,1050
-835,429,1050
-835,429,1050
-835,429,1050
-368,28,409
-368,28,409
-368,28,409
-368,28,409
-368,28,409
-182,-324,-230
-182,-324,-230
-182,-324,-230
-182,-324,-230
-182,-324,-230
-161,-542,-669
-161,-542,-669
-161,-542,-669
-161,-542,-669
-114,-538,-794
-114,-538,-794
-114,-538,-794
-114,-538,-794
-114,-538,-794
-9,-345,-657
-9,-345,-657
-9,-345,-657
-9,-345,-657
-9,-345,-328
90,-73,-328
90,-73,-328
90,-73,-328
90,-73,-328
90,-73,184
115,80,39
115,80,39
115,80,39
115,80,39
115,80,39
119,74,310
119,74,310
119,74,310
119,74,310
119,74,310
119,33,463
114,33,463
114,33,463
114,33,463
114,33,463
114,33,463
129,12,529
129,12,529
129,12,529
129,12,529
129,12,529
128,20,506
128,20,506
128,20,506
128,20,506
128,20,506
99,85,446
99,85,446
99,85,446
99,85,446
99,85,446
99,85,446
33,146,333
33,146,333
33,146,333
33,146,333
33,146,333
-53,106,149
-53,106,149
-53,106,149
-53,106,149
-53,106,149
-116,6,-67
-116,6,-67
-116,6,-67
-116,6,-67
-116,6,-67
-116,6,-67
-148,-106,-255
-148,-106,-255
-148,-106,-255
-148,-106,-255
-120,-201,-379
-120,-201,-379
-120,-201,-379
-120,-201,-379
-120,-201,-379
-69,-277,-429
-69,-277,-429
-69,-277,-429
-69,-277,-429
-69,-277,-429
5,-254,-338
5,-254,-338
5,-254,-338
5,-254,-338
5,-254,-82
118,-130,-149
118,-130,-149
118,-130,-149
118,-130,-149
213,20,79
213,20,79
213,20,79
213,20,79
213,20,79
213,20,79
231,118,237
231,118,237
231,118,237
231,118,237
231,118,237
214,145,237
214,145,237
214,145,237
