timestamp,x,y,z
316,3,85,63
317,3,85,62
318,19,90,62
319,19,90,62
320,19,90,62
321,19,90,62
322,19,90,62
323,37,87,90
324,37,87,90
325,37,87,90
326,37,87,90
327,37,87,90
328,37,87,90
329,49,95,123
330,49,95,123
331,49,95,123
332,49,95,123
333,49,95,123
334,49,95,123
335,45,127,147
336,45,127,147
337,45,127,147
338,45,127,147
339,45,127,147
340,28,184,166
341,28,184,166
342,28,184,166
343,28,184,166
344,28,184,166
345,-12,253,170
346,-12,253,170
347,-12,253,170
348,-12,253,170
349,-12,253,170
350,-12,253,158
351,-62,325,158
352,-62,325,158
353,-62,325,158
354,-62,325,158
355,-62,325,135
356,-86,377,135
357,-86,377,135
358,-86,377,135
359,-86,377,135
360,-86,377,135
361,-74,399,117
362,-74,399,117
363,-74,399,117
364,-74,399,117
365,-74,399,117
366,-64,379,108
367,-64,379,108
368,-64,379,108
369,-64,379,108
370,-64,379,108
371,-77,350,76
372,-77,350,76
373,-77,350,76
374,-77,350,76
375,-77,350,76
376,-150,317,23
377,-150,317,23
378,-150,317,23
379,-150,317,23
380,-150,317,23
381,-300,321,9
382,-300,321,9
383,-300,321,9
384,-300,321,9
385,-300,321,9
386,-300,321,-247
387,-433,324,-26
388,-433,324,-26
389,-433,324,-26
390,-433,324,-26
391,-689,313,-99
392,-537,313,-99
393,-537,313,-99
394,-537,313,-99
395,-537,313,-99
396,-610,259,-135
397,-610,259,-135
398,-610,259,-135
399,-610,259,-135
400,-610,259,-135
401,-661,229,-115
402,-661,229,-115
403,-661,229,-115
404,-661,229,-115
405,-661,229,-115
406,-669,219,-75
407,-669,219,-75
408,-669,219,-75
409,-669,219,-75
410,-669,219,-75
411,-659,222,-42
412,-659,222,-42
413,-659,222,-42
414,-659,222,-42
415,-659,222,-15
416,-665,219,-15
417,-665,219,-15
418,-665,219,-15
419,-665,219,-15
420,-665,196,5
421,-711,196,5
422,-711,196,5
423,-711,196,5
424,-711,196,5
425,-711,196,5
426,-738,187,10
427,-738,187,10
428,-738,187,10
429,-738,187,10
430,-738,187,10
431,-752,196,18
432,-752,196,18
433,-752,196,18
434,-752,196,18
435,-752,196,18
436,-777,216,40
437,-777,216,40
438,-777,216,40
439,-777,216,40
440,-777,216,40
441,-801,227,84
442,-801,227,84
443,-801,227,84
444,-801,227,84
445,-801,227,84
446,-797,240,104
447,-797,240,104
448,-797,240,104
449,-797,240,104
450,-797,240,104
451,-821,240,136
452,-821,240,136
453,-821,240,136
454,-821,240,136
455,-821,240,136
456,-884,246,152
457,-884,246,152
458,-884,246,152
459,-884,246,152
460,-884,246,152
461,-950,237,129
462,-950,237,129
463,-950,237,129
464,-950,237,129
465,-950,237,129
466,-996,199,76
467,-996,199,76
468,-996,199,76
469,-996,199,76
470,-996,199,76
471,-1038,154,21
472,-1038,154,21
473,-1038,154,21
474,-1038,154,21
475,-1038,154,21
476,-1076,94,-34
477,-1076,94,-34
478,-1076,94,-34
479,-1076,94,-34
480,-1076,94,-34
481,-1112,49,-98
482,-1112,49,-98
483,-1112,49,-98
484,-1112,49,-98
485,-1112,49,-98
486,-1165,24,-143
487,-1165,24,-143
488,-1165,24,-143
489,-1165,24,-143
490,-1210,13,-113
491,-1210,13,-113
492,-1210,13,-113
493,-1210,13,-113
494,-1210,13,-113
495,-1226,4,-20
496,-1226,4,-20
497,-1226,4,-20
498,-1226,4,-20
499,-1226,4,-20
500,-1213,-4,62
501,-1213,-4,62
502,-1213,-4,62
503,-1213,-4,62
504,-1213,-4,62
505,-1196,-35,123
506,-1196,-35,123
507,-1196,-35,123
508,-1196,-35,123
509,-1196,-35,123
510,-1185,-109,148
