t,x,y,z
358,-5,5,-13
359,-5,5,-13
360,-5,5,-13
361,-5,5,-13
362,14,20,-7
363,14,20,-7
364,14,20,-7
365,14,20,-7
366,14,20,-7
367,14,20,-7
368,14,16,-6
369,14,16,-6
370,14,16,-6
371,14,16,-6
372,14,16,-6
373,14,16,-6
374,10,3,-4
375,10,3,-4
376,10,3,-4
377,10,3,-4
378,10,3,-4
379,10,3,-4
380,8,11,-2
381,8,11,-2
382,8,11,-2
383,8,11,-2
384,8,11,-2
385,8,11,-2
386,13,51,1
387,13,51,1
388,13,51,1
389,13,51,1
390,13,51,1
391,13,51,1
392,24,144,3
393,24,144,3
394,24,144,3
395,24,144,3
396,24,144,3
397,24,144,3
398,39,310,-3
399,39,310,-3
400,39,310,-3
401,39,310,-3
402,39,310,-3
403,39,310,-3
404,39,478,8
405,39,478,8
406,39,478,8
407,39,478,8
408,39,478,8
409,39,604,61
410,34,604,61
411,34,604,61
412,34,604,61
413,34,604,61
414,34,604,61
415,41,745,146
416,41,745,146
417,41,745,146
418,41,745,146
419,41,745,146
420,15,850,262
421,15,850,262
422,15,850,262
423,15,850,262
424,15,850,262
425,15,850,262
426,-44,1021,376
427,-44,1021,376
428,-44,1021,376
429,-44,1021,376
430,-44,1021,376
431,-75,1176,477
432,-75,1176,477
433,-75,1176,477
434,-75,1176,477
435,-75,1176,540
436,-202,1190,540
437,-202,1190,540
438,-202,1190,540
439,-202,1190,540
440,-397,1099,532
441,-397,1099,532
442,-397,1099,532
443,-397,1099,532
444,-397,1099,532
445,-610,878,439
446,-610,878,439
447,-610,878,439
448,-610,878,439
449,-610,878,439
450,-823,537,267
451,-823,537,267
452,-823,537,267
453,-823,537,267
454,-823,537,267
455,-1017,198,76
456,-1017,198,76
457,-1017,198,76
458,-1017,198,76
459,-1017,198,76
460,-1177,-54,-31
461,-1177,-54,-31
462,-1177,-54,-31
463,-1177,-54,-31
464,-1177,-122,-14
465,-1291,-122,-14
466,-1291,-122,-14
467,-1291,-122,-14
468,-1291,-122,-14
469,-1373,9,91
470,-1373,9,91
471,-1373,9,91
472,-1373,9,91
473,-1373,9,91
474,-1417,304,258
475,-1417,304,258
476,-1417,304,258
477,-1417,304,258
478,-1417,304,258
479,-1426,714,486
480,-1426,714,486
481,-1426,714,486
482,-1426,714,486
483,-1426,714,486
484,-1419,1019,789
485,-1419,1019,789
486,-1419,1019,789
487,-1419,1019,789
488,-1502,1189,1020
489,-1502,1189,1020
490,-1502,1189,1020
491,-1502,1189,1020
492,-1502,1189,1020
493,-1645,1207,921
494,-1645,1207,921
495,-1645,1207,921
496,-1645,1207,921
497,-1769,1166,632
498,-1769,1166,632
499,-1769,1166,632
500,-1769,1166,632
501,-1769,1166,632
502,-1943,1095,507
503,-1943,1095,507
504,-1943,1095,507
505,-1943,1095,507
506,-2303,987,552
507,-2303,987,552
508,-2303,987,552
509,-2303,987,552
510,-2303,987,552
511,-2700,933,635
512,-2700,933,635
513,-2700,933,635
514,-2700,933,635
515,-2700,933,635
516,-2834,926,747
517,-2834,926,747
518,-2834,926,747
519,-2834,926,747
520,-2578,939,913
521,-2731,939,913
522,-2731,939,913
523,-2731,939,913
524,-2731,939,913
525,-2533,1025,923
526,-2533,1025,923
527,-2533,1025,923
528,-2533,1025,923
529,-2533,1025,923
530,-2354,1152,702
531,-2354,1152,702
532,-2354,1152,702
533,-2354,1152,702
534,-2282,1216,493
535,-2282,1216,493
536,-2282,1216,493
537,-2282,1216,493
538,-2282,1216,493
